comment
0|judging from previous posts this used to be a good place , but not any longer .;
1|we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .;
2|they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .;
3|the food was lousy - too sweet or too salty and the portions tiny .;
4|after all that , they complained to me about the small tip .;
5|avoid this place !;
6|i have eaten at saul , many times , the food is always consistently , outrageously good .;
7|saul is the best restaurant on smith street and in brooklyn .;
8|the duck confit is always amazing and the foie gras terrine with figs was out of this world .;
9|the wine list is interesting and has many good values .;
10|for the price , you can not eat this well in manhattan .;
11|i was very disappointed with this restaurant .;
12|ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .;
13|i had to ask her three times before she finally came back with the dish ive requested .;
14|food was okay , nothing great .;
15|chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .
16|i / we will never go back to this place again .;
17|went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !;
18|service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !;
19|you ca n ' t go wrong here .;
20|every time in new york i make it a point to visit restaurant saul on smith street .;
21|everything is always cooked to perfection , the service is excellent , the decor cool and understated .;
22|i had the duck breast special on my last visit and it was incredible .;
23|and i hate to say this but i doubt i ' ll ever go back .;
24|the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .;
25|the only thing i moderately enjoyed was their grilled chicken special with edamame puree .;
26|i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .;
27|the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .;
28|we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !;
29|the perfect spot .;
30|food - awesome .;
31|service - friendly and attentive .;
32|ambiance - relaxed and stylish .;
33|do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .;
34|the food is decent .;
35|however , it ' s the service that leaves a bad taste in my mouth .;
36|i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .;
37|i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .;
38|well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .;
39|the last time i walked by it looked pretty empty . hmmm .;
40|i had a great experience .;
41|food is great .;
42|service is top notch .;
43|i have been going back again and again .;
44|it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .;
45|the sushi seemed pretty fresh and was adequately proportioned .;
46|the rice to fish ration was also good - - they did n ' t try to overpack the rice .;
47|we took advanatage of the half price sushi deal on saturday so it was well worth it .;
48|surprisingly nothing could be further from the truth .;
49|in the evening , this place attracted a well dressed , with it , ny crowd .;
50|the food was well prepared and the service impecable .;
51|i ' m going back .;
52|quite simply it ' s like stepping out of manhattan and into a haven of tranquility .;
53|i will be going back and heartily recommend it !;
54|it is terrific , as is the value .;
55|$ 6 and there is much tasty food , all of it fresh and continually refilled .;
56|i am not a vegetarian but , almost all the dishes were great .;
57|go hungry and enjoy .;
58|i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .;
59|the service varys from day to day - sometimes they ' re very nice , and sometimes not .;
60|the kitchen however , is almost always slow .;
61|if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .;
62|add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .;
63|the lava cake dessert was incredible and i recommend it .;
64|once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .;
65|this tiny restaurant is as cozy as it gets , with that certain parisian flair .;
66|the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .
67|however , go for the ambience , and consider the food just a companion for a trip across the world !;
68|the pizza was delivered cold and the cheese was n ' t even fully melted !;
